age,race,sex,priors_count,c_charge_degree,days_served,two_year_recid
26.0,1.0,1.0,2.0,0.0,1.6,0.0
31.0,0.0,1.0,1.0,0.0,1.23,0.0
43.0,1.0,1.0,0.0,0.0,1.09,1.0
24.0,0.0,1.0,4.0,0.0,1.21,1.0
26.0,1.0,1.0,1.0,1.0,1.0,0.0
29.0,0.0,1.0,2.0,0.0,160.02,0.0
25.0,0.0,1.0,5.0,0.0,49.27,1.0
29.0,0.0,1.0,1.0,0.0,1.12,1.0
41.0,1.0,1.0,0.0,0.0,0.21,0.0
25.0,0.0,1.0,0.0,0.0,1.85,1.0
40.0,1.0,1.0,3.0,1.0,40.35,0.0
54.0,1.0,1.0,2.0,1.0,39.02,0.0
57.0,1.0,1.0,0.0,1.0,1.87,0.0
53.0,0.0,1.0,8.0,0.0,5.32,1.0
23.0,0.0,1.0,1.0,0.0,15.93,1.0
51.0,0.0,1.0,7.0,1.0,3.13,1.0
40.0,0.0,1.0,15.0,0.0,72.25,1.0
26.0,0.0,1.0,1.0,1.0,14.23,0.0
37.0,0.0,0.0,0.0,1.0,5.14,0.0
26.0,0.0,1.0,4.0,0.0,83.43,1.0
34.0,1.0,0.0,0.0,1.0,2.12,1.0
25.0,0.0,0.0,0.0,1.0,0.98,0.0
28.0,1.0,1.0,0.0,0.0,37.06,1.0
27.0,1.0,1.0,0.0,0.0,0.99,1.0
28.0,0.0,1.0,2.0,1.0,2.03,1.0
49.0,1.0,0.0,3.0,0.0,0.58,0.0
31.0,1.0,0.0,1.0,0.0,0.26,1.0
57.0,0.0,1.0,8.0,1.0,5.05,0.0
23.0,0.0,1.0,0.0,1.0,0.91,0.0
50.0,0.0,1.0,18.0,0.0,248.94,1.0
29.0,0.0,1.0,4.0,0.0,1.16,0.0
46.0,1.0,1.0,6.0,0.0,22.67,1.0
62.0,1.0,1.0,0.0,0.0,0.87,0.0
30.0,0.0,1.0,8.0,0.0,64.97,1.0
58.0,1.0,1.0,5.0,1.0,2.78,0.0
50.0,1.0,1.0,1.0,1.0,5.23,1.0
25.0,0.0,1.0,1.0,0.0,0.71,1.0
37.0,0.0,1.0,12.0,0.0,0.24,1.0
21.0,0.0,1.0,0.0,0.0,3.25,1.0
50.0,1.0,1.0,8.0,0.0,172.67,0.0
29.0,0.0,1.0,11.0,0.0,1.87,1.0
40.0,1.0,0.0,0.0,1.0,1.09,0.0
49.0,1.0,1.0,0.0,1.0,0.61,0.0
36.0,0.0,1.0,6.0,1.0,0.96,0.0
28.0,0.0,1.0,3.0,1.0,-0.41,1.0
21.0,0.0,1.0,1.0,0.0,0.77,0.0
34.0,0.0,1.0,5.0,1.0,0.96,0.0
30.0,0.0,1.0,8.0,1.0,1.23,1.0
45.0,1.0,1.0,2.0,1.0,0.83,0.0
24.0,0.0,1.0,1.0,0.0,1.1,0.0
22.0,0.0,0.0,0.0,1.0,1.25,0.0
33.0,0.0,1.0,19.0,0.0,0.87,1.0
25.0,0.0,1.0,10.0,0.0,7.94,1.0
23.0,0.0,0.0,0.0,1.0,0.81,0.0
55.0,1.0,1.0,33.0,0.0,242.07,1.0
27.0,0.0,1.0,2.0,0.0,3.01,0.0
41.0,1.0,1.0,0.0,1.0,0.23,0.0
50.0,0.0,0.0,4.0,0.0,13.35,0.0
32.0,1.0,1.0,6.0,0.0,0.25,0.0
33.0,1.0,0.0,2.0,0.0,-0.23,0.0
25.0,0.0,1.0,2.0,0.0,0.87,1.0
62.0,1.0,0.0,0.0,1.0,3.9,0.0
62.0,0.0,1.0,0.0,1.0,0.22,0.0
64.0,0.0,1.0,20.0,0.0,2.07,0.0
39.0,1.0,1.0,0.0,0.0,0.92,1.0
48.0,0.0,0.0,0.0,0.0,1.85,0.0
24.0,1.0,0.0,0.0,1.0,0.33,0.0
22.0,0.0,1.0,0.0,0.0,2.01,0.0
22.0,0.0,1.0,0.0,1.0,0.65,0.0
40.0,0.0,1.0,0.0,0.0,1.01,0.0
23.0,0.0,0.0,0.0,0.0,25.09,0.0
52.0,1.0,1.0,1.0,0.0,0.74,0.0
24.0,0.0,1.0,2.0,1.0,506.2,1.0
21.0,0.0,0.0,0.0,1.0,0.99,1.0
68.0,0.0,1.0,2.0,0.0,0.23,0.0
23.0,1.0,1.0,0.0,1.0,0.13,0.0
25.0,0.0,1.0,8.0,0.0,0.12,1.0
22.0,0.0,1.0,11.0,0.0,0.0,1.0
25.0,1.0,1.0,1.0,0.0,59.05,0.0
67.0,1.0,1.0,0.0,1.0,0.87,0.0
25.0,0.0,1.0,1.0,0.0,0.16,0.0
21.0,0.0,1.0,0.0,1.0,0.82,1.0
25.0,0.0,0.0,4.0,0.0,0.16,1.0
41.0,0.0,1.0,5.0,1.0,0.85,0.0
35.0,1.0,1.0,2.0,0.0,2.07,1.0
22.0,0.0,1.0,2.0,0.0,1.37,1.0
54.0,0.0,1.0,11.0,0.0,1.1,0.0
20.0,1.0,0.0,1.0,0.0,17.18,1.0
22.0,0.0,1.0,1.0,1.0,0.98,1.0
29.0,1.0,1.0,0.0,0.0,89.94,0.0
50.0,0.0,1.0,2.0,1.0,0.84,1.0
25.0,0.0,1.0,1.0,1.0,1.92,1.0
25.0,0.0,1.0,5.0,0.0,35.15,0.0
28.0,0.0,0.0,6.0,1.0,2.07,1.0
53.0,1.0,0.0,0.0,1.0,0.85,0.0
32.0,0.0,1.0,4.0,0.0,44.98,1.0
23.0,0.0,0.0,1.0,1.0,0.83,0.0
25.0,1.0,0.0,2.0,0.0,3.04,0.0
44.0,1.0,1.0,3.0,0.0,0.17,0.0
27.0,1.0,0.0,4.0,1.0,54.68,1.0
28.0,0.0,1.0,5.0,1.0,1.09,1.0
55.0,1.0,1.0,0.0,1.0,30.2,1.0
24.0,0.0,1.0,0.0,1.0,1.0,1.0
39.0,0.0,1.0,2.0,1.0,47.23,0.0
66.0,0.0,1.0,5.0,0.0,0.68,1.0
34.0,0.0,1.0,8.0,0.0,4.67,1.0
27.0,0.0,1.0,10.0,0.0,0.99,0.0
37.0,1.0,1.0,1.0,1.0,0.87,0.0
38.0,0.0,1.0,7.0,1.0,197.79,0.0
34.0,0.0,1.0,0.0,0.0,2.35,1.0
55.0,0.0,1.0,3.0,1.0,69.81,1.0
24.0,0.0,1.0,2.0,1.0,0.17,1.0
40.0,0.0,1.0,3.0,0.0,1.08,0.0
51.0,0.0,1.0,19.0,0.0,2.89,1.0
21.0,0.0,1.0,0.0,0.0,1.15,0.0
42.0,1.0,1.0,3.0,0.0,-0.49,1.0
44.0,1.0,1.0,11.0,1.0,180.28,0.0
44.0,1.0,1.0,13.0,0.0,16.89,1.0
26.0,0.0,1.0,0.0,0.0,1.06,0.0
23.0,0.0,0.0,1.0,0.0,1.75,1.0
26.0,0.0,1.0,2.0,0.0,2.12,1.0
42.0,1.0,0.0,5.0,1.0,6.18,1.0
31.0,1.0,1.0,6.0,1.0,10.24,0.0
28.0,0.0,1.0,2.0,0.0,1.12,1.0
46.0,0.0,1.0,9.0,0.0,5.06,0.0
29.0,0.0,1.0,2.0,0.0,1.89,0.0
37.0,1.0,1.0,1.0,1.0,0.9,0.0
23.0,0.0,1.0,0.0,0.0,0.98,1.0
47.0,1.0,1.0,3.0,1.0,12.84,1.0
31.0,0.0,1.0,1.0,1.0,-0.19,0.0
49.0,0.0,1.0,0.0,0.0,0.81,0.0
34.0,1.0,1.0,0.0,1.0,1.06,0.0
23.0,0.0,0.0,1.0,0.0,0.95,0.0
21.0,1.0,1.0,0.0,1.0,0.94,1.0
29.0,0.0,1.0,13.0,0.0,1.15,1.0
58.0,0.0,1.0,12.0,1.0,4.0,1.0
36.0,1.0,0.0,2.0,0.0,1.9,0.0
31.0,0.0,0.0,0.0,1.0,0.67,0.0
35.0,0.0,0.0,7.0,0.0,2.0,1.0
48.0,0.0,1.0,2.0,0.0,1.05,1.0
23.0,0.0,1.0,0.0,0.0,1.17,0.0
30.0,0.0,1.0,1.0,0.0,132.01,1.0
23.0,0.0,1.0,1.0,1.0,178.06,0.0
26.0,1.0,1.0,0.0,1.0,1.12,0.0
20.0,0.0,1.0,4.0,0.0,376.09,1.0
27.0,0.0,0.0,0.0,1.0,6.82,1.0
21.0,0.0,1.0,0.0,0.0,4.22,1.0
33.0,1.0,1.0,1.0,0.0,20.13,0.0
50.0,1.0,0.0,30.0,1.0,3.73,1.0
23.0,0.0,0.0,3.0,0.0,5.01,1.0
28.0,1.0,1.0,11.0,0.0,1.1,0.0
38.0,0.0,0.0,1.0,0.0,0.91,0.0
20.0,0.0,1.0,0.0,0.0,0.94,0.0
50.0,1.0,1.0,1.0,1.0,0.6,0.0
35.0,0.0,1.0,5.0,0.0,0.97,0.0
25.0,1.0,1.0,4.0,0.0,33.1,1.0
43.0,0.0,1.0,0.0,0.0,3.02,0.0
31.0,0.0,1.0,7.0,0.0,3.12,1.0
38.0,1.0,1.0,0.0,0.0,0.96,0.0
29.0,1.0,1.0,2.0,0.0,0.82,1.0
48.0,0.0,1.0,8.0,0.0,11.17,1.0
24.0,0.0,0.0,1.0,0.0,0.84,0.0
26.0,0.0,1.0,4.0,0.0,0.92,0.0
28.0,0.0,0.0,0.0,0.0,29.12,0.0
29.0,0.0,1.0,1.0,1.0,0.21,1.0
26.0,0.0,1.0,6.0,0.0,2.25,1.0
24.0,0.0,0.0,2.0,1.0,14.0,1.0
32.0,0.0,1.0,6.0,0.0,130.14,1.0
64.0,0.0,1.0,8.0,1.0,0.96,1.0
41.0,0.0,1.0,18.0,1.0,33.98,1.0
21.0,0.0,0.0,0.0,1.0,0.62,0.0
22.0,0.0,1.0,0.0,0.0,0.92,0.0
58.0,1.0,1.0,8.0,1.0,1.13,0.0
20.0,0.0,0.0,0.0,1.0,4.91,1.0
28.0,0.0,1.0,4.0,0.0,29.89,0.0
21.0,1.0,1.0,0.0,1.0,1.07,1.0
33.0,0.0,1.0,28.0,0.0,1.83,1.0
25.0,0.0,1.0,8.0,1.0,1.82,1.0
59.0,1.0,1.0,2.0,0.0,18.81,0.0
35.0,0.0,1.0,1.0,1.0,1.27,0.0
33.0,0.0,0.0,2.0,0.0,2.06,1.0
33.0,1.0,0.0,0.0,1.0,0.98,0.0
24.0,0.0,1.0,2.0,1.0,0.56,1.0
26.0,0.0,1.0,1.0,1.0,1.85,1.0
57.0,0.0,1.0,11.0,0.0,140.22,0.0
52.0,1.0,0.0,6.0,1.0,33.3,0.0
26.0,0.0,1.0,3.0,0.0,13.31,1.0
66.0,1.0,1.0,2.0,1.0,56.85,0.0
21.0,0.0,1.0,1.0,0.0,2.77,1.0
34.0,1.0,0.0,0.0,0.0,0.88,1.0
54.0,0.0,1.0,8.0,0.0,-0.1,1.0
24.0,0.0,1.0,0.0,0.0,0.74,0.0
41.0,1.0,1.0,0.0,1.0,1.0,0.0
41.0,0.0,1.0,0.0,0.0,0.6,0.0
42.0,1.0,1.0,8.0,0.0,1.03,0.0
21.0,0.0,1.0,0.0,0.0,1.05,1.0
23.0,0.0,1.0,0.0,1.0,1.04,1.0
29.0,1.0,0.0,1.0,0.0,1.0,1.0
39.0,1.0,1.0,0.0,0.0,54.22,0.0
38.0,0.0,1.0,9.0,0.0,13.13,1.0
20.0,0.0,1.0,1.0,0.0,2.74,0.0
42.0,1.0,0.0,4.0,1.0,0.27,1.0
27.0,0.0,1.0,11.0,1.0,2.33,1.0
40.0,0.0,1.0,1.0,0.0,75.85,0.0
22.0,1.0,0.0,0.0,1.0,1.21,0.0
61.0,0.0,1.0,25.0,0.0,1.25,0.0
43.0,1.0,1.0,0.0,1.0,0.22,0.0
29.0,0.0,1.0,0.0,0.0,0.2,1.0
53.0,1.0,1.0,0.0,1.0,-0.08,0.0
24.0,0.0,1.0,0.0,1.0,0.67,0.0
30.0,0.0,1.0,11.0,0.0,2.65,1.0
32.0,1.0,1.0,0.0,0.0,0.78,1.0
29.0,1.0,1.0,0.0,1.0,-0.25,0.0
27.0,0.0,1.0,4.0,0.0,0.97,0.0
61.0,1.0,1.0,4.0,0.0,118.98,0.0
26.0,1.0,1.0,4.0,1.0,293.1,1.0
43.0,0.0,1.0,7.0,0.0,1.87,1.0
25.0,0.0,0.0,5.0,0.0,0.83,1.0
22.0,1.0,1.0,1.0,0.0,0.58,1.0
33.0,0.0,0.0,0.0,1.0,1.07,0.0
39.0,0.0,1.0,3.0,0.0,3.01,1.0
43.0,0.0,1.0,23.0,0.0,102.06,0.0
57.0,0.0,1.0,8.0,1.0,-0.43,1.0
28.0,0.0,1.0,0.0,0.0,0.87,0.0
24.0,1.0,1.0,3.0,0.0,39.1,1.0
23.0,1.0,1.0,0.0,1.0,3.03,1.0
31.0,0.0,1.0,6.0,0.0,1.06,1.0
30.0,0.0,1.0,10.0,0.0,0.95,1.0
63.0,0.0,1.0,0.0,1.0,0.81,0.0
46.0,1.0,1.0,14.0,0.0,0.95,1.0
48.0,1.0,0.0,0.0,0.0,1.19,0.0
35.0,1.0,1.0,2.0,1.0,34.23,1.0
26.0,1.0,1.0,0.0,1.0,0.9,0.0
39.0,0.0,1.0,1.0,0.0,0.96,0.0
44.0,0.0,1.0,1.0,1.0,0.08,0.0
22.0,1.0,1.0,5.0,1.0,0.67,1.0
30.0,0.0,1.0,14.0,0.0,5.98,0.0
24.0,0.0,1.0,0.0,1.0,1.02,0.0
28.0,0.0,1.0,4.0,0.0,21.05,1.0
34.0,0.0,0.0,1.0,1.0,1.02,0.0
34.0,1.0,1.0,9.0,0.0,1.2,1.0
29.0,0.0,0.0,1.0,1.0,-0.04,0.0
33.0,0.0,1.0,2.0,1.0,-0.19,1.0
38.0,0.0,1.0,3.0,0.0,4.35,1.0
38.0,0.0,1.0,10.0,1.0,0.73,0.0
43.0,0.0,1.0,4.0,0.0,1.86,1.0
44.0,1.0,0.0,0.0,1.0,0.95,1.0
42.0,0.0,1.0,0.0,0.0,0.94,0.0
69.0,1.0,0.0,5.0,0.0,1.01,0.0
27.0,0.0,1.0,4.0,0.0,0.99,1.0
29.0,0.0,1.0,16.0,0.0,33.28,1.0
26.0,0.0,1.0,5.0,0.0,2.95,0.0
25.0,0.0,1.0,14.0,0.0,83.0,1.0
26.0,0.0,1.0,3.0,0.0,1.83,0.0
28.0,1.0,1.0,14.0,0.0,0.87,0.0
36.0,0.0,0.0,3.0,0.0,0.18,1.0
46.0,1.0,1.0,1.0,0.0,1.1,0.0
56.0,1.0,1.0,0.0,0.0,0.88,0.0
